iter	Passed	Remaining
765	7013	2142
766	7024	2133
767	7035	2125
768	7044	2116
769	7055	2107
770	7066	2098
771	7075	2089
772	7085	2080
773	7094	2071
774	7104	2062
775	7114	2053
776	7124	2044
777	7135	2036
778	7145	2027
779	7154	2018
780	7164	2008
781	7173	1999
782	7183	1990
783	7192	1981
784	7201	1972
785	7210	1963
786	7218	1953
787	7227	1944
788	7237	1935
789	7246	1926
790	7256	1917
791	7265	1908
792	7275	1899
793	7284	1890
794	7294	1881
795	7314	1874
796	7329	1866
797	7344	1859
798	7355	1850
799	7365	1841
800	7378	1833
801	7389	1824
802	7400	1815
803	7408	1806
804	7418	1796
805	7427	1787
806	7436	1778
807	7444	1769
808	7453	1759
809	7462	1750
810	7471	1741
811	7479	1731
812	7488	1722
813	7497	1713
814	7505	1703
815	7514	1694
816	7523	1685
817	7532	1675
818	7542	1666
819	7550	1657
820	7560	1648
821	7569	1639
822	7579	1630
823	7588	1620
824	7598	1611
825	7608	1602
826	7619	1593
827	7628	1584
828	7637	1575
829	7647	1566
830	7657	1557
831	7667	1548
832	7677	1539
833	7686	1529
834	7695	1520
835	7705	1511
836	7714	1502
837	7724	1493
838	7733	1484
839	7742	1474
840	7751	1465
841	7759	1456
842	7768	1446
843	7777	1437
844	7786	1428
845	7795	1418
846	7803	1409
847	7813	1400
848	7822	1391
849	7832	1382
850	7842	1373
851	7851	1363
852	7860	1354
853	7870	1345
854	7880	1336
855	7890	1327
856	7900	1318
857	7923	1311
858	7933	1302
859	7942	1292
860	7950	1283
861	7959	1274
862	7968	1264
863	7977	1255
864	7985	1246
865	7994	1237
866	8002	1227
867	8011	1218
868	8019	1208
869	8027	1199
870	8036	1190
871	8044	1180
872	8053	1171
873	8062	1162
874	8071	1153
875	8080	1143
876	8088	1134
877	8096	1125
878	8105	1115
879	8114	1106
880	8123	1097
881	8131	1087
882	8139	1078
883	8149	1069
884	8157	1060
885	8166	1050
886	8175	1041
887	8184	1032
888	8192	1022
889	8201	1013
890	8210	1004
891	8219	995
892	8228	985
893	8237	976
894	8246	967
895	8256	958
896	8267	949
897	8277	940
898	8287	931
899	8298	922
900	8309	913
901	8319	903
902	8328	894
903	8338	885
904	8348	876
905	8357	867
906	8368	858
907	8379	849
908	8389	839
909	8401	830
910	8410	821
911	8420	812
912	8429	803
913	8440	794
914	8449	784
915	8459	775
916	8470	766
917	8480	757
918	8489	748
919	8499	739
920	8509	729
921	8519	720
922	8528	711
923	8537	702
924	8546	692
925	8555	683
926	8564	674
927	8573	665
928	8582	655
929	8590	646
930	8599	637
931	8607	628
932	8616	618
933	8624	609
934	8633	600
935	8642	590
936	8651	581
937	8660	572
938	8668	563
939	8677	553
940	8685	544
941	8694	535
942	8702	526
943	8711	516
944	8719	507
945	8728	498
946	8737	488
947	8746	479
948	8755	470
949	8769	461
950	8778	452
951	8787	443
952	8797	433
953	8806	424
954	8816	415
955	8825	406
956	8835	397
957	8846	387
958	8856	378
959	8867	369
960	8878	360
961	8888	351
962	8898	341
963	8907	332
964	8916	323
965	8927	314
966	8937	305
967	8946	295
968	8957	286
969	8967	277
970	8976	268
971	8986	258
972	8997	249
973	9008	240
974	9018	231
975	9028	222
976	9038	212
977	9051	203
978	9061	194
979	9071	185
980	9081	175
981	9092	166
982	9104	157
983	9115	148
984	9125	138
985	9135	129
986	9144	120
987	9155	111
988	9166	101
989	9175	92
990	9185	83
991	9195	74
992	9204	64
993	9214	55
994	9223	46
995	9233	37
996	9241	27
997	9252	18
998	9261	9
999	9270	0
